SR_NUM	INSPECT_ID	STREET	ADDRESS_2	APT_FLOOR	CITY	STATE	ZIP	CENSUS_TRACT	REQUEST_TYPE	PROPERTY_TYPE	NUM_UNITS	EMERGENCY_TYPE	INSPECTOR_ID
HCE-20130412-3286	114464	728  RIDGE AVENUE 			STOWE TOWNSHIP	PA	15136		Community Environment	SINGLE FAMILY	1	NON EMERGENCY	88
HCE-20130325-3112	114465	5506  STANTON AVENUE 		APT 3	PITTSBURGH	PA	15206	31113	Complaint Housing	MULTI FAMILY	19	NON EMERGENCY	15
HCE-20130318-3050	114466	213  ALTER AVENUE 			PITTSBURGH	PA	15106	32805	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130403-3189	114467	5517  BLACK STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	2	NON EMERGENCY	15
HCE-20130213-2776	114468	136  CHICAGO STREET 			PITTSBURGH	PA	15214	32609	West Nile	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20130411-3257	115052	701  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130305-2942	115054	325  KNOX AVENUE 			CARNEGIE	PA	15106	54689	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	73
HCE-20130411-3258	115056	703  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130226-2870	115058	5533  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	4	NON EMERGENCY	15
HCE-20130226-2869	115059	5531  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20130411-3259	115060	707  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130226-2867	115061	5527  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20130411-3260	115062	709  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130305-2947	115063	25 & 27  SYCAMORE STREET 			CRAFTON	PA	15205	54655	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	73
HCE-20130226-2865	115064	5517  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20130411-3261	115065	714  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130226-2864	115066	5515  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20130411-3263	115067	741  COTTONWOOD DRIVE 			MONROEVILLE	PA	15146	55711	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130226-2866	115068	5519  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	4	NON EMERGENCY	15
HCE-20120713-5562	115072	5929  GRUBBS ROAD 			RICHLAND TOWNSHIP	PA	15044	54081	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20121123-7655	115074	217  JOYCE TERRACE 		APT. 1	PITTSBURGH	PA	15207	31515	Complaint Housing	MULTI FAMILY	19	NON EMERGENCY	2
HCE-20130405-3195	115075	326  HAYS AVENUE 		APT. 203	MOUNT OLIVER	PA	15210	54810	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	18
HCE-20130102-1013	115080	566  THOMAS STREET 			COLLIER TOWNSHIP	PA	15017	54580	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	2
HCE-20130322-3087	115081	660  MERCER STREET 			TURTLE CREEK	PA	15145	55094	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20121002-7157	115084	613  MERCER STREET 			TURTLE CREEK	PA	15145	55094	Complaint Housing	SINGLE FAMILY	1	NO HEAT	5
HCE-20121023-7363	115086	5256  KEEPORT DRIVE 			BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	40	NON EMERGENCY	46
HCE-20130401-3155	115087	244  DINWIDDIE STREET 			PITTSBURGH	PA	15219	30314	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	4
HCE-20130326-3107	115088	410  STRATMORE AVENUE 			PITTSBURGH	PA	15205	32815	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130402-3160	115090	3332  WEBSTER AVENUE 			PITTSBURGH	PA	15219	30506	Complaint Housing	SINGLE FAMILY	1	RATS	4
HCE-20130417-3314	115091	720  CHEROKEE STREET 			PITTSBURGH	PA	15219	30506	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20130107-2467	115631	2662  BAUM ROAD 			PLUM	PA	15239	55269	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20121005-7196	115639	138  PENN AVENUE 		APT#2	MOUNT OLIVER	PA	15210	54810	Complaint Housing	MULTI FAMILY	4	NO HEAT	46
HCE-20121203-7748	115641	156  SPRUCE VALLEY DRIVE 			ROSS TOWNSHIP	PA	15229	55626	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	83
HCE-20120829-6258	115643	131  MARSHALL AVENUE 			PITTSBURGH	PA	15214	32615	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20121105-7507	115644	420  SUFFOLK STREET 			PITTSBURGH	PA	15214	32614	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20121019-7329	115645	129  RHINE PLACE 		APT 2 B	PITTSBURGH	PA	15212	32620	Complaint Housing	MULTI FAMILY	11	NON EMERGENCY	3
HCE-20120917-6969	115651	1017  4TH STREET 			NORTH BRADDOCK	PA	15104	55129	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20121210-7786	115655	37  WASHINGTON AVENUE 		APT. 312	BELLEVUE	PA	15202	54311	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	2
HCE-20120724-5698	115657	100 S EUCLID AVENUE 			BELLEVUE	PA	15202	54311	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	2
HCE-20120807-5879	115659	143  GREENFIELD AVENUE 			PITTSBURGH	PA	15207	31516	Community Environment	VACANT PROPERTY	1	NON EMERGENCY	2
HCE-20130103-1017	115661	826 N SHERIDAN AVENUE 		1ST FLOOR	PITTSBURGH	PA	15206	31106	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20121023-7366	115662	2423  WYLIE AVENUE 			PITTSBURGH	PA	15219	30502	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20121011-7247	115663	1437  ARLINGTON AVENUE 			PITTSBURGH	PA	15210	31808	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20121228-7910	115665	110 E SEVENTH AVENUE 			HOMESTEAD	PA	15120	54838	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20121212-7820	115666	246  ROCHELLE STREET 			PITTSBURGH	PA	15210	33001	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20121214-7836	115670	1232  BUENA VISTA STREET 		APT 2	PITTSBURGH	PA	15212	32206	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20110610-4535	115671	2000  HAZELDELL STREET 			PITTSBURGH	PA	15210	32902	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	28
HCE-20130221-2823	114469	5528  JACKSON STREET 			PITTSBURGH	PA	15206	31111	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20121217-7842	114470	1426  CHISLETT STREET 			PITTSBURGH	PA	15206	31014	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20130418-3330	114471	911  PARK STREET 			MC KEESPORT	PA	15132	55509	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20130131-2689	114472	5710  WELDIN WAY 			PITTSBURGH	PA	15206	31115	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20130314-3022	114473	602  MORGAN STREET 		APT#4	PITTSBURGH	PA	15219	30508	Complaint Housing	MULTI FAMILY	5	NON EMERGENCY	4
HCE-20130213-2778	114474	2620 N CHARLES STREET 			PITTSBURGH	PA	15214	32614	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20120905-6827	114476	702  FRANKLIN STREET 			MC KEESPORT	PA	15132	55512	Complaint Housing	SINGLE FAMILY	1	UTILITY TERMINATION	4
HCE-20130404-3204	114479	1025  MAIN STREET 			CORAOPOLIS	PA	15108	54507	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130319-3056	114482	414  BROADWAY STREET 		#1	MCKEES ROCKS	PA	15136	55739	Complaint Housing	MULTI FAMILY	3	NON EMERGENCY	19
HCE-20130423-3374	114483	3D  LOCUST STREET 		APT. D	MCKEES ROCKS	PA	15136	55739	Complaint Housing	MULTI FAMILY	1	NON EMERGENCY	19
HCE-20130306-3000	114486	8862  FRANKSTOWN ROAD 		APT # 2	PITTSBURGH	PA	15235	55650	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	88
HCE-20130222-2834	114496	711  CHEROKEE STREET 		APT 1	PITTSBURGH	PA	15219	30506	Complaint Housing	MULTI FAMILY	19	NON EMERGENCY	4
HCE-20130201-2699	114497	2606  BROWNSVILLE ROAD 			PITTSBURGH	PA	15227		Community Environment	MULTI FAMILY	2	NON EMERGENCY	18
HCE-20130108-2491	114498	912  TRANSVERSE AVENUE 			MOUNT OLIVER	PA	15210	54810	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20121129-7710	114501	1216  ANN STREET 			HOMESTEAD	PA	15120	54838	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20121024-7376	114502	269  ATER WAY 			PITTSBURGH	PA	15201	30603	West Nile	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20120806-5861	114503	2809  HIGHLAND AVENUE 			MC KEESPORT	PA	15132	55519	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20130128-2647	114505	1427  ADAMS STREET 			PITTSBURGH	PA	15233	32107	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20121115-7596	114506	1417  GLENN AVENUE 			WILKINSBURG	PA	15221		Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	1
HCE-20121231-7922	114507	2036  LINDSAY ROAD 			WILKINSBURG	PA	15221	55614	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	1
HCE-20130215-2799	114508	2030  BOGGS AVENUE 			WILKINSBURG	PA	15221	55614	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	1
HCE-20130408-3216	115092	1315  SANDUSKY STREET 			PITTSBURGH	PA	15212	32206	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	4
HCE-20130222-2838	115093	5470  YOUNGRIDGE DRIVE 		APT 3	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	7	NON EMERGENCY	46
HCE-20130402-3163	115094	5334  KEEPORT DRIVE 		APT 24	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	99	NO HEAT	46
HCE-20130313-3018	115095	41 W BELLECREST AVENUE 		1ST FLOOR	BRENTWOOD	PA	15227	54781	Complaint Housing	MULTI FAMILY	3	NO HEAT	46
HCE-20120809-5914	115096	479  UNION STREET 			VERONA	PA	15147	55240	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20130204-2715	115097	200 N LINDEN AVENUE 		APT. 6	PITTSBURGH	PA	15208		Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	19
HCE-20130322-3083	115098	2657  QUAIL HILL ROAD 			UPPER ST. CLAIR	PA	15241	54746	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	2
HCE-20130308-2979	115099	4637  ELIZABETH STREET 			ROBINSON TOWNSHIP	PA	15108	54593	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	2
HCE-20130410-3246	115100	619  MELLON STREET 		Apt# 0	PITTSBURGH	PA	15206	31113	Complaint Housing	MULTI FAMILY	3	SEWAGE	15
HCE-20130423-3376	115103	114  MILL STREET 			CORAOPOLIS	PA	15108	54508	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130405-3202	115108	138  PENN AVENUE 		APT. 3	MOUNT OLIVER	PA	15210	54810	Complaint Housing	MULTI FAMILY	3	NO WATER	18
HCE-20130417-3317	115109	406  ORWELL WAY 			PITTSBURGH	PA	15224	30802	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20130129-2666	115110	1114  SUTHERLAND STREET 			PITTSBURGH	PA	15204	32022	Complaint Housing	SINGLE FAMILY	1	NO HEAT	83
HCE-20130411-3252	115111	104  LAUGHLIN AVENUE 			PITTSBURGH	PA	15210	32902	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20121015-7280	115114	304  KNOEDLER ROAD 		APT 4	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	40	NON EMERGENCY	46
HCE-20121023-7365	115115	304  KNOEDLER ROAD 		APT 1	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	40	NON EMERGENCY	46
HCE-20121220-7876	115119	225  TRAVIS DRIVE 	RESIDENCE OF SOUTH HILLS	APT 4	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	40	NON EMERGENCY	46
HCE-20121231-7916	115120	225  TRAVIS DRIVE 		APT 2	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	7	NON EMERGENCY	46
HCE-20130227-2931	115121	225  TRAVIS DRIVE 		APT. #3	BALDWIN	PA	15236	54805	Complaint Housing	MULTI FAMILY	7	NON EMERGENCY	46
HCE-20130314-3022	115122	602  MORGAN STREET 		APT#4	PITTSBURGH	PA	15219	30508	Complaint Housing	MULTI FAMILY	5	NON EMERGENCY	4
HCE-20120806-5904	115128	177  38TH STREET 			PITTSBURGH	PA	15201	30603	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	88
HCE-20130212-2771	115129	421  OAK STREET 			BRADDOCK	PA	15104	55138	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20130520-3615	115130	1615  CHISLETT STREET 			PITTSBURGH	PA	15206	31014	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	15
HCE-20120910-6863	115673	213  THIRD AVENUE 			RANKIN	PA	15104	55140	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20120404-3880	115674	537  VERMONT AVENUE 			GLASSPORT	PA	15045	54994	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20121227-7902	115678	627  LYDIA STREET 		FRONT	WILMERDING	PA	15148	55080	Complaint Housing	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20121105-7501	115679	553  RIDGE AVENUE 			EAST PITTSBURGH	PA	15112	55100	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20120904-6770	115680	246  WHITAKER STREET 			WHITAKER	PA	15120	54850	Community Environment	VACANT PROPERTY	1	NON EMERGENCY	62
HCE-20120730-5761	115681	5442  JACKSON STREET 		APT. 1	PITTSBURGH	PA	15206	31014	Complaint Housing	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20121130-7725	115682	7429  PARK AVENUE 			SWISSVALE	PA	15218	55153	Community Environment	MULTI FAMILY	2	NON EMERGENCY	18
HCE-20121130-7726	115683	7425  PARK AVENUE 			SWISSVALE	PA	15218	55153	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20130205-2724	115684	617  SWISSVALE AVENUE AVENUE 	AKA 1034 FRANKLIN AVENUE	APT 2	WILKINSBURG	PA	15221	55610	Complaint Housing	MULTI FAMILY	3	NO HEAT	1
HCE-20120913-6938	115686	602  LILLIAN STREET 			PITTSBURGH	PA	15210	31803	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20130205-2725	115688	1461  BARR AVENUE 			PITTSBURGH	PA	15205	32811	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20121231-7922	115693	2036  LINDSAY ROAD 			WILKINSBURG	PA	15221	55614	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	1
HCE-20120622-5240	115701	5421  KEYSTONE STREET 		APT. 2	PITTSBURGH	PA	15201	31011	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	15
HCE-20121114-7592	115706	1356  FOURTH AVENUE 			CORAOPOLIS	PA	15108	54508	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20121031-7469	115708	3045  PYRAMID AVENUE 		APT B #10	BRENTWOOD	PA	15227	54782	Complaint Housing	MULTI FAMILY	12	NON EMERGENCY	46
HCE-20121024-7371	115709	37  WASHINGTON AVENUE 		APT. 313	BELLEVUE	PA	15202	54311	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	2
HCE-20130319-3051	114517	1153  STOWE AVENUE 			STOWE TOWNSHIP	PA	15136	54621	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130308-2971	114518	1025  MAIN STREET 			CORAOPOLIS	PA	15108	54507	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130109-2490	114519	720  QUAILL AVENUE 			ROSS TOWNSHIP	PA	15202	55626	Complaint Housing	MULTI FAMILY	3	NON EMERGENCY	19
HCE-20130114-2533	114520	122  AUBURN STREET 			PITTSBURGH	PA	15206	31208	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	88
HCE-20130327-3126	114521	101  MUNSEY AVENUE 			BRENTWOOD	PA	15227	54781	Complaint Housing	MULTI FAMILY	2	NO WATER	46
HCE-20130214-2788	114522	721  BOQUET STREET 		2ND FLR.	MCKEES ROCKS	PA	15136	55738	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	73
HCE-20130213-2776	114523	136  CHICAGO STREET 			PITTSBURGH	PA	15214	32609	West Nile	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20120727-5748	114524	1614  CHARTIERS AVENUE 			MCKEES ROCKS	PA	15136	55739	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	73
HCE-20121114-7592	114526	1356  FOURTH AVENUE 			CORAOPOLIS	PA	15108	54508	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130102-1009	114527	5501  HAYS STREET 			PITTSBURGH	PA	15206	31113	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	15
HCE-20130409-3228	114528	2521  GLENARM AVENUE 			PITTSBURGH	PA	15226	31919	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	46
HCE-20130226-2868	114529	525  BROADWAY AVENUE 			STOWE TOWNSHIP	PA	15136	54626	Community Environment	MULTI FAMILY	2	NON EMERGENCY	88
HCE-20130312-3004	114531	415  SMITHFIELD STREET 	BRIGHTSIDE ACADEMY		PITTSBURGH	PA	15222	30101	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130222-2834	114533	711  CHEROKEE STREET 		APT 1	PITTSBURGH	PA	15219	30506	Complaint Housing	MULTI FAMILY	19	NON EMERGENCY	4
HCE-20120808-6032	114534	1533  PARK BOULEVARD 			DORMONT	PA	15216	54722	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	46
HCE-20130322-3089	114535	2520  WEDGEMERE STREET 			PITTSBURGH	PA	15226	31919	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	46
HCE-20130311-3007	114536	146  RUTH STREET 			PITTSBURGH	PA	15211	31915	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	46
HCE-20130130-2676	114537	1325  DIANA STREET 		APT#4	PITTSBURGH	PA	15212	32411	Complaint Housing	MULTI FAMILY	4	NON EMERGENCY	83
HCE-20121015-7278	114542	15  ORCHARD STREET 			STOWE TOWNSHIP	PA	15136	54621	Complaint Housing	SINGLE FAMILY	1	NO WATER	88
HCE-20130423-3376	114543	114  MILL STREET 			CORAOPOLIS	PA	15108	54508	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130423-3377	114544	617  WATSON STREET 			CORAOPOLIS	PA	15108	54507	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130423-3375	114545	808  WOOD STREET 			CORAOPOLIS	PA	15108	54508	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130404-3204	115132	1025  MAIN STREET 			CORAOPOLIS	PA	15108	54507	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	41
HCE-20130123-2611	115133	35 E  MIDWAY DRIVE 			WEST MIFFLIN	PA	15122	54882	Complaint Housing	MULTI FAMILY	40	SEWAGE	15
HCE-20130315-3045	115135	4 A  MIDWAY DRIVE 	MON VIEW HEIGHTS		WEST MIFFLIN	PA	15122	54882	Complaint Housing	MULTI FAMILY	40	NON EMERGENCY	15
HCE-20120524-4853	115137	3448  DENNY STREET 	AKA LIGONEER STREET		PITTSBURGH	PA	15201	30604	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	18
HCE-20130215-2800	115139	2946  ZEPHYR AVENUE 			PITTSBURGH	PA	15204	32018	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	83
HCE-20130513-3547	115143	243  PINE STREET 			WHITAKER	PA	15120	54850	Community Environment	VACANT PROPERTY	1	NON EMERGENCY	62
HCE-20130416-3299	115144	212 - 214 S 6TH STREET 			DUQUESNE	PA	15110	54868	Community Environment	MULTI FAMILY	2	NON EMERGENCY	62
HCE-20120821-6110	115156	3902  LIBERTY AVENUE 			PITTSBURGH	PA	15224	30604	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	28
HCE-20130226-2873	115164	5520  BAYWOOD STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20130226-2872	115166	5528  BAYWOOD STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	3	NON EMERGENCY	15
HCE-20130213-2778	115167	2620 N CHARLES STREET 			PITTSBURGH	PA	15214	32614	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	3
HCE-20121210-7786	115710	37  WASHINGTON AVENUE 		APT. 312	BELLEVUE	PA	15202	54311	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	2
HCE-20121105-7488	115711	1408  MAPLE AVENUE 			TURTLE CREEK	PA	15145	55094	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	5
HCE-20121116-7623	115715	26  ESTELLA AVENUE 			PITTSBURGH	PA	15211	31807	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20120612-5110	115716	109 E EIGHTEENTH AVENUE 			HOMESTEAD	PA	15120	54838	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	28
HCE-20040921-8435	115717	211  RENOVA STREET 			PITTSBURGH	PA	15207	31515	Complaint Housing	SINGLE FAMILY	1	NO WATER	28
HCE-20120717-5610	115718	5487  HAYS STREET 			PITTSBURGH	PA	15206	31113	Community Environment	MULTI FAMILY	4	NON EMERGENCY	15
HCE-20130115-2539	115719	27  SCOTIA STREET 			INGRAM	PA	15205	54643	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	73
HCE-20130206-2732	115720	1305  STOWE AVENUE 			STOWE TOWNSHIP	PA	15136	54621	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	88
HCE-20121022-7344	115721	1305  ISLAND AVENUE 		# 2	STOWE TOWNSHIP	PA	15136	54621	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	88
HCE-20130104-2455	115722	1426  FLEMING AVENUE 		(REAR)	STOWE TOWNSHIP	PA	15136	54621	Complaint Housing	MULTI FAMILY	2	NON EMERGENCY	88
HCE-20121128-7683	115724	800  TENTH STREET 			STOWE TOWNSHIP	PA	15136	54626	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	88
HCE-20130109-2499	115734	25 S STARR AVENUE 		APT 14	BELLEVUE	PA	15202	54315	Complaint Housing	MULTI FAMILY	20	NON EMERGENCY	2
HCE-20121115-7602	115736	820  VERMONT AVENUE 			GLASSPORT	PA	15045	54994	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20120816-6077	115739	608  SAINT CLAIR AVENUE 			CLAIRTON	PA	15025	54928	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20120828-6225	115743	106  KNOX AVENUE 			PITTSBURGH	PA	15210	33001	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20120608-5057	115744	434  GORGAS STREET 			PITTSBURGH	PA	15210	31607	Community Environment	SINGLE FAMILY	1	NON EMERGENCY	11
HCE-20121115-7602	114553	820  VERMONT AVENUE 			GLASSPORT	PA	15045	54994	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20130131-2685	114554	823  VERMONT AVENUE 			GLASSPORT	PA	15045	54994	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	62
HCE-20130215-2800	114556	2946  ZEPHYR AVENUE 			PITTSBURGH	PA	15204	32018	Complaint Housing	SINGLE FAMILY	1	NON EMERGENCY	83
